Relative abundance	Group	tax
0.267539181999	Health	Neisseria
0.184428487355	Carries	Neisseria
0.434414165786	Health	Neisseria
0.309359905283	Carries	Neisseria
0.0791718521159	Carries	Neisseria
0.134162610205	Carries	Neisseria
0.386258574886	Health	Neisseria
0.106698864193	Carries	Neisseria
0.271671342901	Carries	Neisseria
0.0974491301001	Carries	Neisseria
0.428750756558	Health	Neisseria
0.185675415843	Carries	Neisseria
0.169600183434	Carries	Neisseria
0.314251210558	Health	Neisseria
0.297232161367	Carries	Neisseria
0.18098248962	Carries	Neisseria
0.518472380087	Carries	Neisseria
0.232757549945	Health	Neisseria
0.21359827872	Health	Neisseria
0.165577510772	Carries	Neisseria
0.287795793146	Carries	Neisseria
0.222730727643	Health	Neisseria
0.402709464091	Health	Neisseria
0.202287504563	Carries	Neisseria
0.304250222685	Carries	Neisseria
0.293211830104	Carries	Neisseria
0.296715711911	Carries	Neisseria
0.480233089578	Health	Neisseria
0.315442733016	Carries	Neisseria
0.539859302018	Health	Neisseria
0.178427395753	Carries	Neisseria
0.28486884302	Carries	Neisseria
0.213145940944	Health	Neisseria
0.197104922154	Health	Neisseria
0.308469661176	Carries	Neisseria
0.0352344454325	Carries	Neisseria
0.204600179161	Health	Neisseria
0.322486896705	Carries	Neisseria
0.323696921301	Health	Neisseria
0.436633186592	Carries	Neisseria
0.192197897531	Health	Neisseria
0.348021258542	Health	Neisseria
0.320804443749	Health	Neisseria
0.419313135669	Health	Neisseria
0.183761977376	Health	Prevotella
0.195737789193	Carries	Prevotella
0.0519532919846	Health	Prevotella
0.0834901261765	Carries	Prevotella
0.0633826744452	Carries	Prevotella
0.39821528631	Carries	Prevotella
0.0614500679279	Health	Prevotella
0.218736270398	Carries	Prevotella
0.269770851151	Carries	Prevotella
0.363238613484	Carries	Prevotella
0.0265960957302	Health	Prevotella
0.214431845944	Carries	Prevotella
0.232303204444	Carries	Prevotella
0.143487693542	Health	Prevotella
0.263247787306	Carries	Prevotella
0.281732285147	Carries	Prevotella
0.0211572978301	Carries	Prevotella
0.249130656861	Health	Prevotella
0.114830359908	Health	Prevotella
0.273594984194	Carries	Prevotella
0.0930460444723	Carries	Prevotella
0.160879250919	Health	Prevotella
0.0760535024399	Health	Prevotella
0.185059661873	Carries	Prevotella
0.274334467928	Carries	Prevotella
0.226173943916	Carries	Prevotella
0.146146237468	Carries	Prevotella
0.0775609928693	Health	Prevotella
0.285345154222	Carries	Prevotella
0.0498847658514	Health	Prevotella
0.0543624111489	Carries	Prevotella
0.183991625031	Carries	Prevotella
0.0910792374155	Health	Prevotella
0.272966928848	Health	Prevotella
0.161740795352	Carries	Prevotella
0.317116907993	Carries	Prevotella
0.105782581285	Health	Prevotella
0.121692845561	Carries	Prevotella
0.0805772046791	Health	Prevotella
0.0833929377941	Carries	Prevotella
0.171000162835	Health	Prevotella
0.179542912211	Health	Prevotella
0.108969909446	Health	Prevotella
0.0761214398224	Health	Prevotella
0.0906059486158	Health	Rothia
0.106589439866	Carries	Rothia
